src/data/CellArray.java:10:	The class 'CellArray' is suspected to be a Data Class (WOC=28.571%, NOPA=0, NOAM=4, WMC=11)
src/data/CellArray.java:11:	Avoid unused private fields such as 'cellArray'.
src/data/CellArray.java:11:	Field comments are required
src/data/CellArray.java:11:	It is somewhat confusing to have a field name matching the declaring class name
src/data/CellArray.java:12:	Field comments are required
src/data/CellArray.java:13:	Field comments are required
src/data/CellArray.java:15:	Parameter 'col' is not assigned and could be declared final
src/data/CellArray.java:15:	Parameter 'row' is not assigned and could be declared final
src/data/CellArray.java:15:	Public method and constructor comments are required
src/data/CellArray.java:28:	Parameter 'row' is not assigned and could be declared final
src/data/CellArray.java:40:	Parameter 'col' is not assigned and could be declared final
src/data/CellArray.java:46:	Avoid variables with short names like x
src/data/CellArray.java:46:	Avoid variables with short names like y
src/data/CellArray.java:46:	Parameter 'x' is not assigned and could be declared final
src/data/CellArray.java:46:	Parameter 'y' is not assigned and could be declared final
src/data/CellArray.java:46:	Public method and constructor comments are required
src/data/CellArray.java:48:	Avoid using if statements without curly braces
src/data/CellArray.java:49:	A method should have only one exit point, and that should be the last statement in the method
src/data/CellArray.java:49:	This statement should have braces
src/data/CellArray.java:53:	Avoid variables with short names like x
src/data/CellArray.java:53:	Avoid variables with short names like y
src/data/CellArray.java:53:	Parameter 'cell' is not assigned and could be declared final
src/data/CellArray.java:53:	Parameter 'x' is not assigned and could be declared final
src/data/CellArray.java:53:	Parameter 'y' is not assigned and could be declared final
src/data/CellArray.java:53:	Public method and constructor comments are required
src/data/CellState.java:9:	Field comments are required
src/data/CellState.java:11:	Parameter 'value' is not assigned and could be declared final
src/lifeGame/Main.java:1:	Package name contains upper case characters
src/lifeGame/Main.java:7:	Avoid unused imports such as 'java.awt.event'
src/lifeGame/Main.java:9:	Avoid unused imports such as 'javax.swing.border.EmptyBorder'
src/lifeGame/Main.java:15:	Avoid short class names like Main
src/lifeGame/Main.java:15:	Header comments are required
src/lifeGame/Main.java:16:	Field comments are required
src/lifeGame/Main.java:16:	Found non-transient, non-static member. Please mark as transient or provide accessors.
src/lifeGame/Main.java:17:	Avoid variables with short names like p
src/lifeGame/Main.java:17:	Field comments are required
src/lifeGame/Main.java:17:	Found non-transient, non-static member. Please mark as transient or provide accessors.
src/lifeGame/Main.java:17:	Perhaps 'p' could be replaced by a local variable.
src/lifeGame/Main.java:18:	Avoid variables with short names like p1
src/lifeGame/Main.java:18:	Field comments are required
src/lifeGame/Main.java:18:	Found non-transient, non-static member. Please mark as transient or provide accessors.
src/lifeGame/Main.java:18:	Perhaps 'p1' could be replaced by a local variable.
src/lifeGame/Main.java:19:	Avoid variables with short names like p2
src/lifeGame/Main.java:19:	Field comments are required
src/lifeGame/Main.java:19:	Found non-transient, non-static member. Please mark as transient or provide accessors.
src/lifeGame/Main.java:19:	Perhaps 'p2' could be replaced by a local variable.
src/lifeGame/Main.java:20:	Avoid variables with short names like p3
src/lifeGame/Main.java:20:	Field comments are required
src/lifeGame/Main.java:20:	Found non-transient, non-static member. Please mark as transient or provide accessors.
src/lifeGame/Main.java:20:	Perhaps 'p3' could be replaced by a local variable.
src/lifeGame/Main.java:21:	Avoid variables with short names like c
src/lifeGame/Main.java:21:	Field comments are required
src/lifeGame/Main.java:21:	Found non-transient, non-static member. Please mark as transient or provide accessors.
src/lifeGame/Main.java:21:	Private field 'c' could be made final; it is only initialized in the declaration or constructor.
src/lifeGame/Main.java:22:	Field comments are required
src/lifeGame/Main.java:22:	Found non-transient, non-static member. Please mark as transient or provide accessors.
src/lifeGame/Main.java:22:	Private field 'row' could be made final; it is only initialized in the declaration or constructor.
src/lifeGame/Main.java:23:	Field comments are required
src/lifeGame/Main.java:23:	Found non-transient, non-static member. Please mark as transient or provide accessors.
src/lifeGame/Main.java:23:	Private field 'col' could be made final; it is only initialized in the declaration or constructor.
src/lifeGame/Main.java:24:	Field comments are required
src/lifeGame/Main.java:24:	Found non-transient, non-static member. Please mark as transient or provide accessors.
src/lifeGame/Main.java:25:	Avoid unused private fields such as 'cells1'.
src/lifeGame/Main.java:25:	Field comments are required
